position,name,fdpts,salary,team,matchup,score,mins,line,date,cleanname,location
C,"Anthony, Joel",10.8,3500.0,det,@ ind,109-114,6,4pt 4rb 1st 2-2fg 0-0ft,2015-02-04,Joel Anthony,Away
C,"Ajinca, Alexis",10.6,4400.0,nor,v okc,91-102,9,6pt 3rb 1bl 1to 3-3fg 0-0ft,2015-02-04,Alexis Ajinca,Home
C,"Whittington, Shayne",6.2,3500.0,ind,v det,114-109,7,6pt 1rb 1to 2-3fg 2-2ft,2015-02-04,Shayne Whittington,Home
C,"O'Bryant, Johnny",5.6,3500.0,mil,v lal,113-105,14,0pt 3rb 2st 2to 0-2fg 0-0ft,2015-02-04,O'Johnny Bryant,Home
C,"Mahinmi, Ian",3.4,4e3,ind,v det,114-109,4,1pt 2rb 0-1fg 1-2ft,2015-02-04,Ian Mahinmi,Home
C,"Stiemsma, Greg",1.5,3500.0,tor,v bkn,93-109,1,0pt 1as 0-0fg 0-0ft,2015-02-04,Greg Stiemsma,Home
C,"Jordan, Jerome",1.2,3500.0,bkn,@ tor,109-93,2,0pt 1rb 0-1fg 0-0ft,2015-02-04,Jerome Jordan,Away
PG,"Wall, John^",36.1,9300.0,was,@ cha,87-94,38,15pt 3rb 13as 1st 4to 6-13fg 3-4ft,2015-02-05,John Wall,Away
SG,"Ellis, Monta^",35.4,7900.0,dal,@ sac,101-78,30,21pt 2rb 6as 3st 3to 3trey 9-16fg 0-0ft,2015-02-05,Monta Ellis,Away
SG,"Smith, J.R.^",35,5300.0,cle,v lac,105-94,29,16pt 5rb 2as 5st 4trey 6-10fg 0-0ft,2015-02-05,J Smith.R.,Home
PG,"Paul, Chris^",27.9,9700.0,lac,@ cle,94-105,27,10pt 2rb 9as 1st 1trey 4-14fg 1-2ft,2015-02-05,Chris Paul,Away
PG,"Barea, Jose^",27.1,3900.0,dal,@ sac,101-78,32,15pt 3rb 5as 1bl 1to 1trey 7-12fg 0-0ft,2015-02-05,Jose Barea,Away
SG,"Matthews, Wes^",27.1,5900.0,por,v pho,108-87,32,14pt 8rb 3as 1to 2trey 5-15fg 2-2ft,2015-02-05,Wes Matthews,Home
SG,"Rivers, Austin",26.5,3500.0,lac,@ cle,94-105,22,10pt 5rb 5as 2st 1to 1trey 4-11fg 1-2ft,2015-02-05,Austin Rivers,Away
PG,"Lillard, Damian^",26.3,8800.0,por,v pho,108-87,33,13pt 4rb 3as 2st 1bl 2to 6-15fg 1-2ft,2015-02-05,Damian Lillard,Home
SG,"Bledsoe, Eric^",25.4,8600.0,pho,@ por,87-108,35,17pt 7rb 4as 6to 1trey 5-10fg 6-7ft,2015-02-05,Eric Bledsoe,Away
PG,"Roberts, Brian^",23.1,4300.0,cha,v was,94-87,38,12pt 3rb 5as 1trey 5-13fg 1-1ft,2015-02-05,Brian Roberts,Home
PG,"Irving, Kyrie^",22.2,9e3,cle,v lac,105-94,32,10pt 6rb 4as 1to 1trey 1-5fg 7-7ft,2015-02-05,Kyrie Irving,Home
PG,"Harris, Devin",21.2,3700.0,dal,@ sac,101-78,19,15pt 1rb 2as 1bl 3trey 4-8fg 4-4ft,2015-02-05,Devin Harris,Away
SG,"McCollum, C.J.",20.8,3500.0,por,v pho,108-87,20,12pt 4rb 2as 1st 1to 1trey 4-7fg 3-3ft,2015-02-05,C McCollum.J.,Home
PG,"Dragic, Goran^",19.1,6300.0,pho,@ por,87-108,33,9pt 3rb 5as 1to 1trey 4-11fg 0-0ft,2015-02-05,Goran Dragic,Away
PG,"Blake, Steve",18.6,3500.0,por,v pho,108-87,23,5pt 3rb 4as 2st 1trey 2-5fg 0-0ft,2015-02-05,Steve Blake,Home
SG,"Stephenson, Lance",16.4,5e3,cha,v was,94-87,28,11pt 2rb 4as 3to 3trey 4-11fg 0-0ft,2015-02-05,Lance Stephenson,Home
PG,"Thomas, Isaiah",14.4,5800.0,pho,@ por,87-108,23,6pt 2rb 4as 1st 2to 2-9fg 2-2ft,2015-02-05,Isaiah Thomas,Away
SG,"Crawford, Jamal^",13.5,5200.0,lac,@ cle,94-105,30,13pt 1as 1st 3to 1trey 6-14fg 0-0ft,2015-02-05,Jamal Crawford,Away
SG,"Shumpert, Iman",13.3,3900.0,cle,v lac,105-94,18,4pt 4rb 1as 2st 1to 1-5fg 2-2ft,2015-02-05,Iman Shumpert,Home
PG,"Temple, Garrett",10.7,3500.0,was,@ cha,87-94,18,7pt 1rb 1as 1st 1to 1trey 3-5fg 0-0ft,2015-02-05,Garrett Temple,Away
SG,"Wilcox, C.J.",10.7,3500.0,lac,@ cle,94-105,17,6pt 1rb 1as 1st 1trey 2-6fg 1-1ft,2015-02-05,C Wilcox.J.,Away
SG,"McLemore, Ben^",10.6,4400.0,sac,v dal,78-101,24,5pt 3rb 2as 1to 1trey 2-9fg 0-0ft,2015-02-05,Ben McLemore,Home
SG,"Neal, Gary",10.3,3500.0,cha,v was,94-87,20,6pt 4rb 1as 2to 3-7fg 0-0ft,2015-02-05,Gary Neal,Home
PG,"Sessions, Ramon",10,3500.0,sac,v dal,78-101,19,7pt 2as 3-4fg 1-2ft,2015-02-05,Ramon Sessions,Home
SG,"Stauskas, Nik",9.3,3500.0,sac,v dal,78-101,23,3pt 4rb 1as 1st 2to 1trey 1-10fg 0-0ft,2015-02-05,Nik Stauskas,Home
PG,"McCallum, Ray",8.8,3500.0,sac,v dal,78-101,15,4pt 4rb 2-10fg 0-0ft,2015-02-05,Ray McCallum,Home
SG,"Jones, Dahntay",8.7,3500.0,lac,@ cle,94-105,21,5pt 1rb 1as 1st 1to 2-4fg 1-2ft,2015-02-05,Dahntay Jones,Away
PG,"Dellavedova, Matthew",7.5,3500.0,cle,v lac,105-94,20,4pt 1as 2st 2to 1-2fg 2-2ft,2015-02-05,Matthew Dellavedova,Home
PG,"Felton, Raymond",5.7,3500.0,dal,@ sac,101-78,6,0pt 1rb 3as 0-3fg 0-0ft,2015-02-05,Raymond Felton,Away
PG,"Goodwin, Archie",5,3500.0,pho,@ por,87-108,2,4pt 1st 1to 1-1fg 2-2ft,2015-02-05,Archie Goodwin,Away
SG,"Beal, Bradley^",4.6,6100.0,was,@ cha,87-94,11,1pt 3rb 0-5fg 1-2ft,2015-02-05,Bradley Beal,Away
PG,"Collison, Darren^",4.2,6800.0,sac,v dal,78-101,14,6pt 1rb 3to 3-3fg 0-0ft,2015-02-05,Darren Collison,Home
SG,"Barton, Will",3.5,3500.0,por,v pho,108-87,2,3pt 1as 1to 1trey 1-1fg 0-0ft,2015-02-05,Will Barton,Home
SG,"Dragic, Zoran",2,3500.0,pho,@ por,87-108,2,2pt 1-2fg 0-0ft,2015-02-05,Zoran Dragic,Away
SG,"Crabbe, Allen",1.2,3500.0,por,v pho,108-87,2,0pt 1rb 0-0fg 0-0ft,2015-02-05,Allen Crabbe,Home
SG,"Ledo, Ricky",0.2,3500.0,dal,@ sac,101-78,4,0pt 1rb 1to 0-2fg 0-0ft,2015-02-05,Ricky Ledo,Away
SF,"James, LeBron^",40.1,11e3,cle,v lac,105-94,28,23pt 3rb 9as 1st 2to 1trey 8-14fg 6-7ft,2015-02-05,LeBron James,Home
SF,"Henderson, Gerald^",39.3,5e3,cha,v was,94-87,36,27pt 4rb 1as 2st 2bl 2to 10-15fg 7-8ft,2015-02-05,Gerald Henderson,Home
PF,"Aldridge, LaMarcus^",38.1,9800.0,por,v pho,108-87,35,19pt 13rb 1as 1st 2bl 4to 7-18fg 5-6ft,2015-02-05,LaMarcus Aldridge,Home
PF,"Love, Kevin^",36.3,8300.0,cle,v lac,105-94,29,24pt 9rb 3as 3to 2trey 6-14fg 10-12ft,2015-02-05,Kevin Love,Home
SF,"Batum, Nicolas^",35.3,5600.0,por,v pho,108-87,36,20pt 4rb 7as 1st 2to 2trey 6-13fg 6-6ft,2015-02-05,Nicolas Batum,Home
PF,"Griffin, Blake^",30.6,9600.0,lac,@ cle,94-105,27,16pt 8rb 4as 1to 7-17fg 2-3ft,2015-02-05,Blake Griffin,Away
SF,"Gay, Rudy^",29.8,7900.0,sac,v dal,78-101,33,11pt 9rb 4as 1st 1bl 2to 2-13fg 7-8ft,2015-02-05,Rudy Gay,Home
PF,"Morris, Markieff^",26.1,6400.0,pho,@ por,87-108,37,18pt 8rb 1as 3to 1trey 8-19fg 1-3ft,2015-02-05,Markieff Morris,Away
SF,"Pierce, Paul^",25.4,5e3,was,@ cha,87-94,30,19pt 2rb 2as 1bl 1to 2trey 7-13fg 3-4ft,2015-02-05,Paul Pierce,Away
PF,"Villanueva, Charlie",24.6,3700.0,dal,@ sac,101-78,25,8pt 8rb 2as 2bl 4-14fg 0-0ft,2015-02-05,Charlie Villanueva,Away
SF,"Jefferson, Richard",23.2,3500.0,dal,@ sac,101-78,29,14pt 6rb 1st 3trey 5-11fg 1-3ft,2015-02-05,Richard Jefferson,Away
PF,"Williams, Marvin",21.6,4e3,cha,v was,94-87,25,8pt 8rb 1st 2bl 2to 2trey 3-7fg 0-0ft,2015-02-05,Marvin Williams,Home
SF,"Tucker, P.J.^",21.6,4600.0,pho,@ por,87-108,32,6pt 3rb 2as 5st 1to 2trey 2-7fg 0-0ft,2015-02-05,P Tucker.J.,Away
PF,"Thompson, Tristan",21,5200.0,cle,v lac,105-94,20,9pt 10rb 2bl 4to 2-4fg 5-6ft,2015-02-05,Tristan Thompson,Home
SF,"Kidd-Gilchrist, Michael^",19.2,6100.0,cha,v was,94-87,22,11pt 6rb 2as 2to 2-4fg 7-8ft,2015-02-05,Kidd-Michael Gilchrist,Home
PF,"Hilario, Nene^",18,5300.0,was,@ cha,87-94,28,11pt 5rb 2bl 3to 5-10fg 1-2ft,2015-02-05,Nene Hilario,Away
SF,"Butler, Rasual",17.3,3500.0,was,@ cha,87-94,29,11pt 4rb 1as 1trey 5-9fg 0-0ft,2015-02-05,Rasual Butler,Away
SF,"Aminu, Al-Farouq^",17.3,4300.0,dal,@ sac,101-78,22,2pt 4rb 1as 2st 3bl 1to 1-6fg 0-0ft,2015-02-05,Al Aminu-Farouq,Away
PF,"Morris, Marcus",15.8,4e3,pho,@ por,87-108,15,8pt 4rb 2as 4-8fg 0-0ft,2015-02-05,Marcus Morris,Away
SF,"Parsons, Chandler^",15.6,6100.0,dal,@ sac,101-78,25,6pt 3rb 4as 1st 2to 2trey 2-9fg 0-0ft,2015-02-05,Chandler Parsons,Away
SF,"Green, Gerald",15.3,4e3,pho,@ por,87-108,17,9pt 4rb 1as 1trey 4-11fg 0-0ft,2015-02-05,Gerald Green,Away
PF,"Humphries, Kris",11.5,5e3,was,@ cha,87-94,22,4pt 5rb 1as 2-9fg 0-0ft,2015-02-05,Kris Humphries,Away
SF,"Porter, Otto",10.9,3500.0,was,@ cha,87-94,18,7pt 2rb 1as 1trey 3-5fg 0-1ft,2015-02-05,Otto Porter,Away
PF,"Davis, Glen",10.6,3500.0,lac,@ cle,94-105,19,7pt 3rb 3-9fg 1-2ft,2015-02-05,Glen Davis,Away
SF,"Marion, Shawn",10.3,3500.0,cle,v lac,105-94,12,2pt 4rb 1as 1bl 1-3fg 0-0ft,2015-02-05,Shawn Marion,Home
SF,"Casspi, Omri",10,3500.0,sac,v dal,78-101,14,5pt 5rb 1to 2-3fg 1-1ft,2015-02-05,Omri Casspi,Home
PF,"Williams, Derrick",9.7,3500.0,sac,v dal,78-101,19,7pt 1rb 1as 1trey 3-4fg 0-0ft,2015-02-05,Derrick Williams,Home
PF,"Thompson, Jason^",7.6,3900.0,sac,v dal,78-101,18,0pt 3rb 1st 1bl 0-1fg 0-0ft,2015-02-05,Jason Thompson,Home
SF,"Barnes, Matt^",7.6,4800.0,lac,@ cle,94-105,24,4pt 3rb 2as 3to 2-5fg 0-0ft,2015-02-05,Matt Barnes,Away
PF,"Powell, Dwight",7.2,3500.0,dal,@ sac,101-78,4,4pt 1rb 1st 2-5fg 0-0ft,2015-02-05,Dwight Powell,Away
PF,"Landry, Carl",6.6,3700.0,sac,v dal,78-101,10,3pt 3rb 1bl 2to 1-3fg 1-3ft,2015-02-05,Carl Landry,Home
PF,"Zeller, Cody^",6.5,5500.0,cha,v was,94-87,23,0pt 5rb 1as 1bl 3to 0-3fg 0-0ft,2015-02-05,Cody Zeller,Home
SF,"Miller, Quincy",5.2,3500.0,sac,v dal,78-101,6,0pt 1rb 1st 1bl 0-1fg 0-0ft,2015-02-05,Quincy Miller,Home
PF,"Smith, Greg",3.9,3500.0,dal,@ sac,101-78,13,0pt 2rb 1as 0-1fg 0-0ft,2015-02-05,Greg Smith,Away
SF,"Claver, Victor",3,3500.0,por,v pho,108-87,2,3pt 1trey 1-1fg 0-0ft,2015-02-05,Victor Claver,Home
SF,"Miller, Mike",2.2,3500.0,cle,v lac,105-94,13,1pt 1rb 0-5fg 1-2ft,2015-02-05,Mike Miller,Home
SF,"Bullock, Reggie",0,3500.0,pho,@ por,87-108,2,0pt 0-0fg 0-0ft,2015-02-05,Reggie Bullock,Away
PF,"Robinson, Thomas",0,3800.0,por,v pho,108-87,2,0pt 0-0fg 0-0ft,2015-02-05,Thomas Robinson,Home
SF,"Turkoglu, Hedo",0,3500.0,lac,@ cle,94-105,2,0pt 0-0fg 0-0ft,2015-02-05,Hedo Turkoglu,Away
SF,"Jones, James",-1,3500.0,cle,v lac,105-94,5,0pt 1to 0-2fg 0-0ft,2015-02-05,James Jones,Home
C,"Cousins, DeMarcus^",40.7,11100.0,sac,v dal,78-101,38,23pt 11rb 3as 1st 2bl 6to 8-16fg 7-8ft,2015-02-05,DeMarcus Cousins,Home
C,"Chandler, Tyson^",37.7,6700.0,dal,@ sac,101-78,30,16pt 16rb 1as 1st 1to 7-9fg 2-3ft,2015-02-05,Tyson Chandler,Away
C,"Maxiell, Jason",36.6,3600.0,cha,v was,94-87,21,11pt 8rb 1st 7bl 3-4fg 5-6ft,2015-02-05,Jason Maxiell,Home
C,"Lopez, Robin^",32.4,5200.0,por,v pho,108-87,31,11pt 12rb 4bl 1to 5-10fg 1-2ft,2015-02-05,Robin Lopez,Home
C,"Jefferson, Al^",29.5,8100.0,cha,v was,94-87,27,8pt 10rb 1as 1st 3bl 3-12fg 2-4ft,2015-02-05,Al Jefferson,Home
C,"Jordan, DeAndre^",25.8,8500.0,lac,@ cle,94-105,27,8pt 14rb 1bl 1to 3-4fg 2-4ft,2015-02-05,DeAndre Jordan,Away
C,"Mozgov, Timofey^",24.8,5500.0,cle,v lac,105-94,28,12pt 9rb 2as 1bl 3to 5-7fg 2-6ft,2015-02-05,Timofey Mozgov,Home
C,"Gortat, Marcin^",19.4,5300.0,was,@ cha,87-94,30,8pt 7rb 2bl 1to 2-10fg 4-4ft,2015-02-05,Marcin Gortat,Away
C,"Hawes, Spencer",15.8,3500.0,lac,@ cle,94-105,18,11pt 4rb 1st 2to 1trey 4-6fg 2-2ft,2015-02-05,Spencer Hawes,Away
C,"Leonard, Meyers",15.6,3500.0,por,v pho,108-87,24,8pt 8rb 2to 3-5fg 2-2ft,2015-02-05,Meyers Leonard,Home
C,"Len, Alex^",15.3,4500.0,pho,@ por,87-108,9,5pt 4rb 1as 2st 1bl 2to 2-3fg 1-1ft,2015-02-05,Alex Len,Away
C,"Hollins, Ryan",12.8,3500.0,sac,v dal,78-101,6,4pt 4rb 2bl 2-2fg 0-0ft,2015-02-05,Ryan Hollins,Home
C,"Udoh, Ekpe",11.9,3500.0,lac,@ cle,94-105,6,4pt 2rb 1as 2st 1-1fg 2-2ft,2015-02-05,Ekpe Udoh,Away
C,"Plumlee, Miles",11.8,3500.0,pho,@ por,87-108,17,1pt 4rb 2st 1bl 0-4fg 1-2ft,2015-02-05,Miles Plumlee,Away
C,"Blair, DeJuan",9.5,3500.0,was,@ cha,87-94,15,4pt 5rb 1as 2to 2-5fg 0-0ft,2015-02-05,DeJuan Blair,Away
C,"Wright, Brandan",5.6,3700.0,pho,@ por,87-108,16,2pt 3rb 1-3fg 0-0ft,2015-02-05,Brandan Wright,Away
C,"Haywood, Brendan",0.2,3500.0,cle,v lac,105-94,5,0pt 1rb 1to 0-1fg 0-0ft,2015-02-05,Brendan Haywood,Home
PG,"Westbrook, Russell^",80.3,11200.0,okc,v nor,113-116,40,48pt 9rb 11as 4st 3to 3trey 15-28fg 15-15ft,2015-02-06,Russell Westbrook,Home
SG,"Evans, Tyreke^",56,8500.0,nor,@ okc,116-113,42,22pt 10rb 16as 1st 1bl 6to 3trey 8-17fg 3-5ft,2015-02-06,Tyreke Evans,Away
SG,"DeRozan, DeMar^",50.8,6900.0,tor,v lac,123-107,32,24pt 9rb 8as 2st 6-16fg 12-13ft,2015-02-06,DeMar DeRozan,Home
SG,"Antetokounmpo, Giannis^",50,6400.0,mil,@ hou,111-117,35,27pt 15rb 4as 1bl 3to 11-16fg 5-6ft,2015-02-06,Giannis Antetokounmpo,Away
PG,"Curry, Stephen^",48.9,10400.0,gsw,@ atl,116-124,36,26pt 2rb 9as 2st 2bl 1to 4trey 8-19fg 6-7ft,2015-02-06,Stephen Curry,Away
PG,"Teague, Jeff^",45.1,7700.0,atl,v gsw,124-116,32,23pt 3rb 7as 3st 2bl 2to 2trey 5-15fg 11-11ft,2015-02-06,Jeff Teague,Home
SG,"Thompson, Klay^",44.3,7800.0,gsw,@ atl,116-124,36,29pt 4rb 5as 2st 1bl 3to 4trey 11-20fg 3-4ft,2015-02-06,Klay Thompson,Away
PG,"Paul, Chris^",43.7,9700.0,lac,@ tor,107-123,40,22pt 6rb 9as 2st 3to 2trey 8-16fg 4-4ft,2015-02-06,Chris Paul,Away
SG,"Harden, James^",43.1,10800.0,hou,v mil,117-111,40,33pt 3rb 5as 1st 3to 3trey 9-14fg 12-17ft,2015-02-06,James Harden,Home
PG,"Irving, Kyrie^",41.3,9e3,cle,@ ind,99-103,39,29pt 4rb 5as 1st 2to 3trey 13-26fg 0-0ft,2015-02-06,Kyrie Irving,Away
PG,"Knight, Brandon^",39.1,7900.0,mil,@ hou,111-117,36,12pt 3rb 11as 5st 3to 2trey 5-14fg 0-0ft,2015-02-06,Brandon Knight,Away
PG,"Augustin, D.J.^",35.9,7200.0,det,v den,98-88,34,22pt 2rb 11as 5to 2trey 6-10fg 8-8ft,2015-02-06,D Augustin.J.,Home
SG,"Oladipo, Victor^",34.7,6900.0,orl,v lal,103-97,37,12pt 11rb 5as 2st 1bl 4to 5-14fg 2-2ft,2015-02-06,Victor Oladipo,Home
SG,"Bledsoe, Eric^",34.4,8600.0,pho,v uta,100-93,31,15pt 2rb 6as 4st 3trey 6-12fg 0-0ft,2015-02-06,Eric Bledsoe,Home
PG,"Hill, George^",34.1,5300.0,ind,v cle,103-99,26,20pt 3rb 7as 1st 1bl 4to 2trey 3-8fg 12-15ft,2015-02-06,George Hill,Home
PG,"Rubio, Ricky^",33.5,6500.0,min,v mem,90-89,26,17pt 5rb 5as 3st 3to 3trey 6-12fg 2-2ft,2015-02-06,Ricky Rubio,Home
SG,"Korver, Kyle^",33.4,5100.0,atl,v gsw,124-116,34,17pt 7rb 2as 2st 1bl 1to 5trey 6-10fg 0-0ft,2015-02-06,Kyle Korver,Home
PG,"Lawson, Ty^",33.1,8400.0,den,@ det,88-98,39,20pt 3rb 9as 4to 1trey 6-12fg 7-8ft,2015-02-06,Ty Lawson,Away
PG,"Calderon, Jose^",32.3,4800.0,nyk,@ bkn,88-92,33,15pt 4rb 7as 1st 3trey 6-11fg 0-0ft,2015-02-06,Jose Calderon,Away
PG,"Jack, Jarrett^",30.4,7600.0,bkn,v nyk,92-88,42,20pt 2rb 8as 4to 1trey 7-12fg 5-5ft,2015-02-06,Jarrett Jack,Home
PG,"Clarkson, Jordan^",30.4,4500.0,lal,@ orl,97-103,31,14pt 2rb 6as 4st 3to 1trey 6-14fg 1-2ft,2015-02-06,Jordan Clarkson,Away
PG,"Galloway, Langston^",30.2,5200.0,nyk,@ bkn,88-92,36,9pt 11rb 4as 1st 1trey 4-11fg 0-1ft,2015-02-06,Langston Galloway,Away
SG,"Johnson, Joe^",30.2,6200.0,bkn,v nyk,92-88,36,13pt 11rb 2as 1st 1to 1trey 5-10fg 2-2ft,2015-02-06,Joe Johnson,Home
PG,"Conley, Mike^",29.3,6500.0,mem,@ min,89-90,36,15pt 4rb 7as 1st 3to 1trey 6-13fg 2-3ft,2015-02-06,Mike Conley,Away
SG,"Williams, Louis",28.1,5200.0,tor,v lac,123-107,28,18pt 3rb 5as 1to 3trey 4-9fg 7-9ft,2015-02-06,Louis Williams,Home
PG,"Parker, Tony^",27.6,5400.0,sas,v mia,98-85,29,21pt 3rb 4as 3to 2trey 9-12fg 1-1ft,2015-02-06,Tony Parker,Home
SG,"Ginobili, Manu",26.3,5300.0,sas,v mia,98-85,24,6pt 4rb 9as 2st 2to 2trey 2-4fg 0-0ft,2015-02-06,Manu Ginobili,Home
PG,"Smart, Marcus^",25.4,4900.0,bos,v phi,107-96,37,3pt 7rb 8as 2st 2to 1-6fg 1-2ft,2015-02-06,Marcus Smart,Home
SG,"Bradley, Avery^",25.1,5100.0,bos,v phi,107-96,30,18pt 3rb 1as 1st 3trey 7-15fg 1-2ft,2015-02-06,Avery Bradley,Home
SG,"Thornton, Marcus",25,3900.0,bos,v phi,107-96,20,16pt 5rb 2as 4trey 5-14fg 2-2ft,2015-02-06,Marcus Thornton,Home
SG,"Crawford, Jamal",25,5200.0,lac,@ tor,107-123,35,20pt 1st 2bl 1to 2trey 4-13fg 10-11ft,2015-02-06,Jamal Crawford,Away
PG,"Lowry, Kyle^",24.7,8e3,tor,v lac,123-107,38,21pt 1rb 1as 1st 1to 3trey 6-9fg 6-6ft,2015-02-06,Kyle Lowry,Home
PG,"Bayless, Jerryd",24.4,4200.0,mil,@ hou,111-117,20,13pt 7rb 2as 6-10fg 1-4ft,2015-02-06,Jerryd Bayless,Away
SG,"Roberson, Andre^",23.7,3500.0,okc,v nor,113-116,23,7pt 6rb 1as 2st 2bl 1trey 3-4fg 0-0ft,2015-02-06,Andre Roberson,Home
PG,"Lin, Jeremy",23.7,4700.0,lal,@ orl,97-103,22,14pt 1rb 3as 2st 1bl 2to 2trey 6-8fg 0-0ft,2015-02-06,Jeremy Lin,Away
PG,"Vasquez, Greivis^",23.1,4400.0,tor,v lac,123-107,23,17pt 3rb 3as 2to 4trey 6-9fg 1-1ft,2015-02-06,Greivis Vasquez,Home
SG,"Smith, J.R.^",22.6,5300.0,cle,@ ind,99-103,31,17pt 3rb 1st 5trey 6-14fg 0-0ft,2015-02-06,J Smith.R.,Away
SG,"Turner, Evan^",22.6,5500.0,bos,v phi,107-96,28,6pt 8rb 6as 2to 2-6fg 2-2ft,2015-02-06,Evan Turner,Home
SG,"Rivers, Austin^",22,3500.0,lac,@ tor,107-123,33,12pt 2as 4st 1to 6-11fg 0-1ft,2015-02-06,Austin Rivers,Away
PG,"Johnson, Tyler",21.4,3900.0,mia,@ sas,85-98,25,18pt 2rb 2st 3to 2trey 7-10fg 2-2ft,2015-02-06,Tyler Johnson,Away
PG,"Beverley, Patrick^",21.2,5e3,hou,v mil,117-111,36,6pt 1rb 6as 1st 2bl 1to 1trey 2-9fg 1-2ft,2015-02-06,Patrick Beverley,Home
PG,"Dragic, Goran^",20.6,6300.0,pho,v uta,100-93,27,9pt 3rb 6as 1to 1trey 4-8fg 0-2ft,2015-02-06,Goran Dragic,Home
PG,"Thomas, Isaiah",20.6,5800.0,pho,v uta,100-93,25,10pt 3rb 4as 1bl 1to 2trey 3-9fg 2-2ft,2015-02-06,Isaiah Thomas,Home
SG,"Martin, Kevin^",20.5,6500.0,min,v mem,90-89,38,11pt 5rb 3as 1st 3to 1trey 4-11fg 2-2ft,2015-02-06,Kevin Martin,Home
SG,"Bazemore, Kent",20.5,4100.0,atl,v gsw,124-116,27,11pt 5rb 1as 1st 3trey 4-6fg 0-0ft,2015-02-06,Kent Bazemore,Home
PG,"Schroder, Dennis",20.5,5e3,atl,v gsw,124-116,18,9pt 7as 1st 1to 1trey 4-9fg 0-0ft,2015-02-06,Dennis Schroder,Home
SG,"Lee, Courtney^",19.7,4e3,mem,@ min,89-90,29,14pt 1rb 1as 2st 1to 1trey 5-9fg 3-3ft,2015-02-06,Courtney Lee,Away
PG,"Williams, Deron",18.8,5600.0,bkn,v nyk,92-88,26,5pt 4rb 6as 1bl 2to 2-9fg 1-4ft,2015-02-06,Deron Williams,Home
SG,"Meeks, Jodie",18.4,4100.0,det,v den,98-88,25,18pt 2rb 2to 8-12fg 2-2ft,2015-02-06,Jodie Meeks,Home
SG,"Belinelli, Marco",17.9,4100.0,sas,v mia,98-85,16,5pt 2rb 3as 2st 1bl 2-5fg 1-2ft,2015-02-06,Marco Belinelli,Home
PG,"Gutierrez, Jorge",17.4,3500.0,mil,@ hou,111-117,16,13pt 2rb 1st 5-5fg 3-3ft,2015-02-06,Jorge Gutierrez,Away
PG,"Burke, Trey",17.1,5800.0,uta,@ pho,93-100,26,5pt 3rb 3as 2bl 1trey 2-13fg 0-0ft,2015-02-06,Trey Burke,Away
PG,"Williams, Maurice",17,5700.0,min,v mem,90-89,24,7pt 5rb 4as 1st 4to 1trey 3-7fg 0-0ft,2015-02-06,Maurice Williams,Home
PG,"Payton, Elfrid^",16.4,5700.0,orl,v lal,103-97,34,4pt 2rb 6as 2st 3to 2-5fg 0-0ft,2015-02-06,Elfrid Payton,Home
SG,"Mayo, O.J.",16.4,5100.0,mil,@ hou,111-117,32,11pt 2rb 2as 1st 2to 1trey 5-13fg 0-0ft,2015-02-06,O Mayo.J.,Away
PG,"Chalmers, Mario^",16.2,4900.0,mia,@ sas,85-98,25,7pt 1rb 4as 2st 2to 1trey 2-8fg 2-2ft,2015-02-06,Mario Chalmers,Away
SG,"Ellington, Wayne^",15.8,5e3,lal,@ orl,97-103,37,10pt 4rb 2as 2to 2trey 3-10fg 2-3ft,2015-02-06,Wayne Ellington,Away
SG,"Green, Danny^",14.4,5800.0,sas,v mia,98-85,16,8pt 2rb 2bl 3-9fg 2-2ft,2015-02-06,Danny Green,Home
PG,"Livingston, Shaun",14.3,3500.0,gsw,@ atl,116-124,12,6pt 4rb 3as 1to 3-4fg 0-0ft,2015-02-06,Shaun Livingston,Away
SG,"Gordon, Eric^",13.9,6100.0,nor,@ okc,116-113,27,8pt 2rb 3as 1st 3to 2trey 3-9fg 0-0ft,2015-02-06,Eric Gordon,Away
SG,"Allen, Tony",13.9,3900.0,mem,@ min,89-90,23,6pt 2rb 1as 1st 1bl 3-5fg 0-0ft,2015-02-06,Tony Allen,Away
SG,"Anderson, Alan^",13.8,4e3,bkn,v nyk,92-88,33,7pt 4rb 2as 1to 1trey 3-5fg 0-1ft,2015-02-06,Alan Anderson,Home
PG,"Exum, Dante^",13.6,3500.0,uta,@ pho,93-100,28,6pt 3rb 4as 2to 2trey 2-4fg 0-0ft,2015-02-06,Dante Exum,Away
PG,"Udrih, Beno",13.6,3900.0,mem,@ min,89-90,12,4pt 3rb 4as 1st 2to 2-4fg 0-0ft,2015-02-06,Beno Udrih,Away
PG,"Mills, Patty",13.4,3500.0,sas,v mia,98-85,19,7pt 2rb 2as 1st 1to 1trey 3-7fg 0-0ft,2015-02-06,Patty Mills,Home
PG,"Larkin, Shane",13.3,3500.0,nyk,@ bkn,88-92,17,0pt 4rb 3as 1st 1bl 0-3fg 0-0ft,2015-02-06,Shane Larkin,Away
PG,"Napier, Shabazz^",12.7,3600.0,mia,@ sas,85-98,26,4pt 1rb 5as 2-7fg 0-0ft,2015-02-06,Shabazz Napier,Away
SG,"Shumpert, Iman",12.6,3900.0,cle,@ ind,99-103,20,6pt 3rb 2as 1st 2to 2trey 2-3fg 0-0ft,2015-02-06,Iman Shumpert,Away
