Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
29773-9799,SG,Wesley,Wesley Matthews,Matthews,25.47777812,9,5600,WAS@DAL,DAL,WAS,,,
29773-9598,PF,Ersan,Ersan Ilyasova,Ilyasova,22.32222154,9,5500,MIL@POR,MIL,POR,,,
29773-23120,SF,TJ,TJ Warren,Warren,23.72500038,8,5400,BKN@PHO,PHO,BKN,GTD,Back,
29773-15814,C,Alex,Alex Len,Len,23.63333299,9,5400,ATL@CHA,ATL,CHA,,,
29773-42148,PF,Rondae,Rondae Hollis-Jefferson,Hollis-Jefferson,22.09999956,7,5300,BKN@PHO,BKN,PHO,,,
29773-16301,C,Dewayne,Dewayne Dedmon,Dedmon,23.35000102,6,5300,ATL@CHA,ATL,CHA,,,
29773-14511,PF,Markieff,Markieff Morris,Morris,25.52499962,8,5300,WAS@DAL,WAS,DAL,,,
29773-15542,PG,Spencer,Spencer Dinwiddie,Dinwiddie,22.71999969,10,5300,BKN@PHO,BKN,PHO,,,
29773-12342,PF,Al-Farouq,Al-Farouq Aminu,Aminu,22.63000031,10,5100,MIL@POR,POR,MIL,,,
29773-16359,SG,Malcolm,Malcolm Brogdon,Brogdon,23.55555556,9,5000,MIL@POR,MIL,POR,,,
29773-49336,SF,DeAndre',DeAndre' Bembry,Bembry,22.93333266,9,4900,ATL@CHA,ATL,CHA,,,
29773-58153,SF,Kelly,Kelly Oubre Jr.,Oubre Jr.,23.16666667,9,4800,WAS@DAL,WAS,DAL,,,
29773-9500,PF,Dirk,Dirk Nowitzki,Nowitzki,23.96883085,77,4700,WAS@DAL,DAL,WAS,O,Ankle,
29773-15691,C,Cody,Cody Zeller,Zeller,20.86000061,10,4700,ATL@CHA,CHA,ATL,,,
29773-9621,C,Brook,Brook Lopez,Lopez,20.74444411,9,4700,MIL@POR,MIL,POR,,,
29773-16363,SF,Joe,Joe Harris,Harris,21.91999969,10,4700,BKN@PHO,BKN,PHO,,,
29773-80816,SG,Malik,Malik Monk,Monk,20.38999939,10,4600,ATL@CHA,CHA,ATL,,,
29773-19456,PG,Isaiah,Isaiah Canaan,Canaan,17.16250038,8,4500,BKN@PHO,PHO,BKN,,,
29773-12359,SF,Evan,Evan Turner,Turner,23.23000031,10,4400,MIL@POR,POR,MIL,,,
29773-84670,SF,Mikal,Mikal Bridges,Bridges,13.77777778,9,4400,BKN@PHO,PHO,BKN,,,
29773-9702,PG,Tony,Tony Parker,Parker,18.94444444,9,4300,ATL@CHA,CHA,ATL,,,
29773-63127,C,Willy,Willy Hernangomez,Hernangomez,16.53333367,9,4200,ATL@CHA,CHA,ATL,,,
29773-9648,SF,Jeff,Jeff Green,Green,19.57777744,9,4200,WAS@DAL,WAS,DAL,,,
29773-15758,SF,Michael,Michael Kidd-Gilchrist,Kidd-Gilchrist,22.98000031,10,4100,ATL@CHA,CHA,ATL,,,
29773-80815,PF,Zach,Zach Collins,Collins,21.63999939,10,4100,MIL@POR,POR,MIL,,,
29773-15952,PF,John,John Henson,Henson,19.74444411,9,4000,MIL@POR,MIL,POR,,,
29773-84678,SF,Miles,Miles Bridges,Bridges,16.35555522,9,4000,ATL@CHA,CHA,ATL,,,
29773-84681,SG,Donte,Donte DiVincenzo,DiVincenzo,16.35555522,9,4000,MIL@POR,MIL,POR,,,
29773-9495,PG,J.J.,J.J. Barea,Barea,20.16666667,9,3900,WAS@DAL,DAL,WAS,,,
