SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,SITE,OPP_ID,OPP_ABBREVIATION,OPP_NAME,OPP_TOV_PCT,clean_DATE.x,LOOKUP,Game_Date,ROT,Away_Tm,Home_Tm,Proj_Pace,Proj_Away_OE,Proj_Home_OE,Proj_Spread,Proj_Total,clean_DATE.y
2018-19,1610612748,MIA,Miami Heat,21800205,2018-11-14T00:00:00,MIA @ BKN,W,48,109.8,110.1,96.8,99.1,13,11,0.5,1.28,16.3,0.205,0.683,0.486,0.165,0.588,0.617,109.9,108.5,A,1610612751,BKN,Brooklyn Nets,0.139,2018-11-14,2018-11-14MIA,11/14/2018,709,MIA,BKN,97.3,1.1,1.11,-0.8,214.6,2018-11-14
2018-19,1610612745,HOU,Houston Rockets,21800200,2018-11-13T00:00:00,HOU @ DEN,W,48,119.2,122.5,107.6,112.5,11.6,10,0.59,1.53,18.9,0.297,0.7,0.506,0.169,0.641,0.661,91.7,88.5,A,1610612743,DEN,Denver Nuggets,0.182,2018-11-13,2018-11-13HOU,11/13/2018,503,HOU,DEN,95.4,1.121,1.123,-0.1908,214.0776,2018-11-13
2018-19,1610612766,CHA,Charlotte Hornets,21800199,2018-11-13T00:00:00,CHA @ CLE,L,48,88.7,91.8,117.4,115.3,-28.7,-23.6,0.667,2.44,16.4,0.246,0.643,0.402,0.093,0.389,0.431,98.3,97.5,A,1610612739,CLE,Cleveland Cavaliers,0.204,2018-11-13,2018-11-13CHA,11/13/2018,501,CHA,CLE,96.3,1.172,1.079,8.9559,216.7713,2018-11-13
2018-19,1610612737,ATL,Atlanta Hawks,21800201,2018-11-13T00:00:00,ATL @ GSW,L,48,100.4,103,109.7,107.8,-9.3,-4.8,0.625,1.47,18.2,0.231,0.731,0.481,0.17,0.517,0.539,101.4,101,A,1610612744,GSW,Golden State Warriors,0.127,2018-11-13,2018-11-13ATL,11/13/2018,505,ATL,GSW,104.7,1.026,1.182,-16.3332,231.1776,2018-11-13
2018-19,1610612755,PHI,Philadelphia 76ers,21800191,2018-11-12T00:00:00,PHI @ MIA,W,48,123.8,125.3,115.7,114,8.1,11.3,0.615,2.4,17.6,0.277,0.773,0.516,0.101,0.56,0.619,99.3,99.5,A,1610612748,MIA,Miami Heat,0.15,2018-11-12,2018-11-12PHI,11/12/2018,703,PHI,MIA,103.5,1.069,1.096,-2.7945,224.0775,2018-11-12
2018-19,1610612756,PHX,Phoenix Suns,21800196,2018-11-12T00:00:00,PHX @ OKC,L,48,103.7,103.1,114.8,119.2,-11,-16.1,0.641,1.39,18.5,0.279,0.6,0.452,0.184,0.525,0.565,100.1,98.5,A,1610612760,OKC,Oklahoma City Thunder,0.141,2018-11-12,2018-11-12PHX,11/12/2018,711,PHX,OKC,98.5,1.052,1.135,-8.1755,215.4195,2018-11-12
2018-19,1610612759,SAS,San Antonio Spurs,21800197,2018-11-12T00:00:00,SAS @ SAC,L,48,99,102.1,106.9,105.1,-7.9,-3,0.658,1.67,18.7,0.235,0.804,0.505,0.155,0.494,0.526,98.7,98,A,1610612758,SAC,Sacramento Kings,0.131,2018-11-12,2018-11-12SAS,11/12/2018,715,SAS,SAC,102.2,1.113,1.078,3.577,223.9202,2018-11-12
2018-19,1610612744,GSW,Golden State Warriors,21800198,2018-11-12T00:00:00,GSW @ LAC,L,53,105.3,103.6,103.5,109,1.9,-5.4,0.614,1.59,18,0.204,0.765,0.476,0.152,0.532,0.557,102.8,100.98,A,1610612746,LAC,LA Clippers,0.153,2018-11-12,2018-11-12GSW,11/12/2018,717,GSW,LAC,102.8,1.134,1.151,-1.7476,234.898,2018-11-12
2018-19,1610612753,ORL,Orlando Magic,21800190,2018-11-12T00:00:00,ORL @ WAS,L,48,110.3,111.2,118.8,120.6,-8.5,-9.4,0.651,2.15,20.1,0.271,0.683,0.461,0.133,0.567,0.581,98.7,97.5,A,1610612764,WAS,Washington Wizards,0.124,2018-11-12,2018-11-12ORL,11/12/2018,701,ORL,WAS,101.3,1.06,1.123,-6.3819,221.1379,2018-11-12
2018-19,1610612762,UTA,Utah Jazz,21800194,2018-11-12T00:00:00,UTA @ MEM,W,48,98.8,99,90.6,91.7,8.2,7.3,0.594,1.27,14.3,0.321,0.771,0.535,0.155,0.445,0.504,97.2,96.5,A,1610612763,MEM,Memphis Grizzlies,0.167,2018-11-12,2018-11-12UTA,11/12/2018,709,UTA,MEM,94.3,1.079,1.048,2.9233,200.5761,2018-11-12
