"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"32020-12337","C","Greg","Greg Monroe","Monroe","11.610714503696986","28","3700","TOR@BOS","TOR","BOS","","","","",""
"32020-12339","C","Ekpe","Ekpe Udoh","Udoh","5.59629652235243","27","3700","UTA@LAC","UTA","LAC","","","","",""
"32020-84690","PG","Jalen","Jalen Brunson","Brunson","12.375","36","3700","SA@DAL","DAL","SA","","","","",""
"32020-23780","SF","Jake","Jake Layman","Layman","11.232352761661305","34","3700","CLE@POR","POR","CLE","","","","",""
"32020-84708","C","Robert","Robert Williams III","Williams III","10.80952380952381","21","3700","TOR@BOS","BOS","TOR","","","","",""
"32020-9960","SF","Omri","Omri Casspi","Casspi","11.41290283203125","31","3700","MIL@MEM","MEM","MIL","","","","",""
"32020-9962","PF","Jonas","Jonas Jerebko","Jerebko","16.800000277432527","44","3700","NO@GS","GS","NO","","","","",""
"32020-40262","SG","Sterling","Sterling Brown","Brown","11.575757575757576","33","3700","MIL@MEM","MIL","MEM","","","","",""
"32020-9598","PF","Ersan","Ersan Ilyasova","Ilyasova","17.183871361517138","31","3700","MIL@MEM","MIL","MEM","","","","",""
"32020-40830","SG","Delon","Delon Wright","Wright","16.025","40","3700","TOR@BOS","TOR","BOS","","","","",""
"32020-18821","SF","Jonathon","Jonathon Simmons","Simmons","14.157142857142857","35","3700","ORL@DET","ORL","DET","","","","",""
"32020-16790","PG","Brad","Brad Wanamaker","Wanamaker","7.531579268606086","19","3700","TOR@BOS","BOS","TOR","","","","",""
"32020-48567","PG","Cameron","Cameron Payne","Payne","13.571428571428571","35","3700","CLE@POR","CLE","POR","","","","",""
"32020-9703","PG","George","George Hill","Hill","16.225806451612904","31","3700","MIL@MEM","MIL","MEM","","","","",""
"32020-58378","C","Jakob","Jakob Poeltl","Poeltl","15.212195419683688","41","3600","SA@DAL","SA","DAL","","","","",""
"32020-9796","PF","Luc","Luc Mbah a Moute","Mbah a Moute","8.850000381469727","4","3600","UTA@LAC","LAC","UTA","GTD","Knee","","",""
"32020-20064","PG","Matthew","Matthew Dellavedova","Dellavedova","10.948148374204282","27","3600","CLE@POR","CLE","POR","","","","",""
"32020-24186","SG","Tyrone","Tyrone Wallace","Wallace","8.521212491122158","33","3600","UTA@LAC","LAC","UTA","","","","",""
"32020-66185","PF","Caleb","Caleb Swanigan","Swanigan","6.15625","16","3600","CLE@POR","POR","CLE","","","","",""
"32020-42158","SG","Jabari","Jabari Bird","Bird","5.984615619365986","13","3600","TOR@BOS","BOS","TOR","O","Not injury related","","",""
